"Hide Price Free","Hide Price Free"
"General Configuration","General Configuration"
"Replace price with","Replace price with"
"Replace price with the selected element","Replace price with the selected element"
"Text","Text"
"This text will display instead of price.","This text will display instead of price."
"Button text","Button text"
"This text will display instead of price. (Default: 'Click for info')","This text will display instead of price. (Default: 'Click for info')"
"Alert icon","Alert icon"
"This icon will be displayed on the popup. (Default: 'Info')","This icon will be displayed on the popup. (Default: 'Info')"
"Alert title text","Alert title text"
"This title will displayed inside popup. (Default: 'Info')","This title will displayed inside popup. (Default: 'Info')"
"Alert text","Alert text"
"This text will displayed inside popup. (Default: 'MagemeCom HidePrice')","This text will displayed inside popup. (Default: 'MagemeCom HidePrice')"
"Alert button text","Alert button text"
"This text will be displayed on button inside popup. (Default: 'Close')","This text will be displayed on button inside popup. (Default: 'Close')"
"Show price for logged in users","Show price for logged in users"
"Show price for authenticated users.","Show price for authenticated users."
"<a href='%1' target='_blank'>%2 update available</a>","<a href='%1' target='_blank'>%2 update available</a>"
"Success","Success"
"Error","Error"
"Warning","Warning"
"Info","Info"
"Question","Question"
"Close","Close"
"None","None"
"Click for info","Click for info"
"Enable HidePrice","Enable HidePrice"
