"Sign In","Entrar"
"Create an Account","Criar Conta"
"Shopping Options","Opções de compra"
"Style","Estilo"
"Price","Preço"
"Activity","Atividade"
"Add to Cart","Comprar"
"Add to Wish List","Adicionar aos Favoritos"
"Add to Compare","Adicionar a Comparação"
"Sort By","Ordenar Por"
"Position","Posição"
"Product Name","Nome do Produto"
"Name","Nome"
"Strap/Handle","Alça"
"Features","Características"
"Performance Fabric","Tecido de Desempenho"
"Erin Recommends","Erin Recomenda"
"New","Novo"
"Sale","Venda"
"Compare Products","Comparar Produtos"
"You have no items to compare.","Você não tem itens para comparar."
"My Wish List","Meus Favoritos"
"You have no items in your wish list.","Você não têm itens na sua lista de favoritos."
"Search entire store here...","Pesquise toda loja aqui..."
"Items","Itens"
"Sign Up For Newsletter","Inscreva-se em nossa Newsletter"
"Enter your email address","Informe seu endereço de e-mail"
"Subscribe","Inscrever"
"Show","Mostrar"
"per page","por página"
"Next","Próxima"
"Previous","Anterior"
"Privacy and Cookie Policy","Política de Privacidade e Cookies"
"Search Terms","Termos de Pesquisa"
"Contact Us","Contate-Nos"
"Orders and Returns","Encomendas e Devoluções"
"Advanced Search","Busca Avançada"
"Registered Customers","Clientes Registrados"
"Email","E-mail"
"Password","Senha"
"Forgot Your Password?","Esqueceu sua senha?"
"Create New Account?","Criar nova conta?"
"Login","Entrar"
"First Name","Nome"
"Last Name","Sobrenome"
"Sign Up for Newsletter","Inscreva-se na Newsletter"
"Confirm Password","Confirmar Senha"
"Back","Voltar"
"Create New Account","Criar Nova Conta"
"Reviews","Avaliações"
"Add Your Review","Faça Sua Avaliação"
"In stock","Em estoque"
"Qty","Qtd"
"Details","Detalhes"
"More Information","Mais Informações"
"My Account","Minha Conta"
"Sign Out","Sair"
"Account Dashboard","Painel de Conta"
"My Orders","Minhas Compras"
"My Downloadable Products","Meus produtos para download"
"Address Book","Endereços"
"Account Information","Informação da Conta"
"Stored Payment Methods","Métodos de Pagamentos"
"Billing Agreements","Contratos de cobrança"
"My Product Reviews","Minhas Avaliações de Produto"
"Newsletter Subscriptions","Assinaturas de Newsletter"
"Contact Information","Informações de contato"
"Edit","Editar"
"Change Password","Alterar Senha"
"Manage Addresses","Gerenciar Endereços"
"Default Billing Address","Endereço de Cobrança Padrão"
"Default Shipping Address","Endereço de Entrega Padrão"
"Edit Address","Editar Endereço"
"You have not set a default billing address.","Você não definiu um endereço de cobrança padrão."
"You have not set a default shipping address.","Você não definiu um endereço de entrega padrão."
"You aren't subscribed to our newsletter.","Você não está inscrito na nossa newsletter."
"You have placed no orders.","Você ainda não fez pedidos."
"You have not purchased any downloadable products yet.","You have not purchased any downloadable products yet."
"Company","Companhia"
"Phone Number","Telefone"
"State/Province","Estado"
"Zip/Postal Code","Código Postal"
"Country","País"
"Save Address","Salvar Endereço"
"Add New Address","Adicionar Novo Endereço"
"Please select a region, state or province.","Selecione o estado"
"Street Address","Endereço"
"Change Email","Alterar E-mail"
"If you created this account using Amazon Pay, you might not know your site password.","Se você criou esta conta usando o Amazon Pay, talvez não saiba a senha do seu site."
"Request a password to change your account password.","Solicite uma senha para alterar a senha da sua conta."
"Save","Salvar"
"Edit Account Information","Editar Informações da Conta"
"You have no stored payment methods.","Você não possui métodos de pagamento armazenados."
"There are no billing agreements yet.","Ainda não há acordos de cobrança."
"You have submitted no reviews.","Você não enviou comentários."
"Subscription option","Opção de assinatura"
"General Subscription","Assinatura Geral"
"Newsletter Subscription","Assinatura de Newsletter"
"Proceed to Checkout","Realizar compra"
"View and Edit Cart","Ver carrinho"
"Cart Subtotal","Valor do carrinho"
"Items ni Cart","Itens no carrinho"
"Shopping Cart","Carrinho de compras"
"Item","Item"
"Summary","Resumo"
"Estimate Shipping and Tax","Estimativa de envio e impostos"
"Check Out with Multiple Addresses","Comprar com vários endereços"
"Tax","Imposto"
"Move to Wishlist","Adicionar aos favoritos"
"Update Cart","Atualizar carrinho"
"Edit item parameters","Atualizar opções do produto"
"Remove Item","Remover item"
"Apply Discount Code","Aplicar código de desconto"
"Enter discount code","Digite seu código de desconto"
"Apply Discount","Aplicar"
"Update Shopping Cart","Atualizar carrinho"
"More Choices:","Mais Escolhas"
"Shipping","Entrega"
"Review & Payments","Revisão e Pagamentos"
"Default Addresses","Endereço Padrão"
"Additional Address Entries","Endereços Adicionais"
"You have no other address entries in your address book.","Você não tem outras entradas de endereço no seu catálogo de endereços."
"Change Billing Address","Alterar Endereço de Cobrança"
"Change Shipping Address","Alterar Endereço de Entrega"
"Shipping Address","Endereço de Entrega"
"Shipping Methods","Métodos de Entrega"
"Order Summary","Resumo da Compra"
"Your order number is: ","O número do seu pedido é: "
"We'll email you an order confirmation with details and tracking info.","Enviaremos por e-mail uma confirmação do pedido com detalhes e informações de rastreamento."
"Continue Shopping","Continuar Comprando"
"Print receipt","Imprimir"
"Recent Orders","Pedidos Recentes"
"Date","Data"
"Ship To","Entrega Para"
"Order Total","Valor do Pedido"
"Status","Situação"
"Action","Ação"
"Reorder","Recomprar"
"View Order","Ver Pedido"
"Order #","Pedido #"
"View All","Ver Todos"
"Recently Ordered","Comprado Recentemente"
"Pending","Aguardando"
"Print Order","Imprimir Pedido"
"Items Ordered","Itens Comprados"
"Shipping & Handling","Envio e Manuseio"
"Grand Total","Total"
"Ordered","Comprado"
"Order Information","Informações do Pedido"
"Shipping Method","Método de Entrega"
"Low Stock","Estoque Baixo"
"Out of Stock","Sem Estoque"
"Left","Restante(s)"
"Arrival Forecast","Previsão de Chegada"
"Available Quantity","Quantidade Disponível"
"Alert subscription has been saved.","A assinatura do alerta foi salva."
"Notify me when this product is in stock","Notifique-me quando este produto estiver em estoque"
"Your total order amount is greater than your credit limit.","O valor total do seu pedido é superior ao seu limite de crédito."
"Credit Limit","Limite de Crédito"
